text;label
@animefess_ Owi Tiga Periode (Orang Wibu Tidak Gabut, Periang, Ora Debat);Netral
@alisyarief Lanjut tiga periode dah yuk rame2 ke MK gugat UU pemilu...gasss;Positif
@sasasayatusa_ swacana masa jabatan presiden tiga periode;Netral
@sasasayatusa_ yang ingin tiga periode atau lebih itu hanya sebagian kecil, kalau dari total poluasi itu hanya sekitar 5 persen;Negatif
@sasasayatusa_ Relawan Jokowi Mania Joman menyatakan menolak wacana tiga periode jabatan presiden.;Negatif
@sasasayatusa_ Saya mempunyai keyakinan bahwa presiden menolak penundaan Pemilu menolak wacana tiga periode;Negatif
@sasasayatusa_ hanya sebagian kecil dari masyarakat yang inginkan Presiden menjabat tiga periode atau lebih;Positif
@reflection_8_ @alvinrio_1501 Abah kedah sehat kan wapres tiga periode;Netral
@mohmahfudmd Yah tul prof, harus di ganti dan gak ada kata untuk tiga periode lagi.;Negatif
@alisyarief Lah, lo didikte investor china diem bae, sampe suruh tiga periode nurut aja.. Hmmm. Malu ya pung, hasilnya di luar ekspektasi;Negatif
"@Ranisor @jokowi Tetap kawal
Dilangan masih ada pihak yang hembus hembuskan tiga periode";Netral
@yusuf_dumdum @KPK_RI Haha.. Ndak akan viral masih ngeboomm kalau pakai tiga periode.. 🤣🤣🤣;Netral
@intevl dua periode atau tiga periode?;Netral
@OnlyFrens Karena udah saking hopeless tiga perioda gagal, mamak udah tabuh genderang perang. Kalau masih berani manuver tiga periode;Negatif
@cattonist gila aja kalau beneran tiga periode. bisa bisa demo;Negatif
@Ardiesuhardi1 gimane klo tiga periode kaya yng diminta sama si Ono noh !!! 👀🙄🤔🤦😂🤣;Negatif
@Wawat_Kurniawan Pesan kuat ke bang Masinton dan ki Lurah, saya masih ada dan akan tetap tegak tiga periode 🤣🤣;Positif
@bentangnegeri Orasinya menjawab siapa yg bermain dgn wacana tiga periode, koplak tenan 😂😂;Netral
"@GunRomli @jokowi @KPK_RI Dukung kedua2nya.
Jokowi tiga periode?";Netral
@Dguzel_ 🎤🎵 Galau hanya untuk mengejar tiga periode 🎶 buat apa sih janji manis kau sungguhkan untuk rakyat muuu🎶;Negatif
@geloraco Untuk tiga periode kah? Cuma nanya jangan baper ya?;Netral
"@notarisanto Ket Pakdhe Jokowi dadi Walikota, nganti seprene (jare) meh tiga periode, isih ono yo sing kegiring ketikanku.

Nggumun aku";Netral
@detikcom Semoga @jokowi jadi presiden pertama Indonesia tiga periode amin;Positif
@KompasTV Tiga periode nih ye?;Netral
Pillow talk bersama pasangan selain berbincang bincang tentang tiga periode, kira kira topik opo maneh sih sing gayeng? 🙄;Netral
@UyokBack @imutimutmu Yg ada di pikirannya bagaiman supaya pak de bisa tiga periode;Netral
@hajsohee kl vismisnya tiga periode gmn bang;Netral
@privetbro1 Itu lambang Z apa lambang tiga periode sih? Xixixixi;Netral
@sasasayatusa_ Mayoritas Tolak Presiden Tiga Periode dan Penundaan Pemilu 2024;Negatif
Selasa rasa Senin. Meeting sampe tiga periode.;Netral
@sasasayatusa_ Isu tiga periode bukan Jokowi yang mengusulkan;Negatif
@sasasayatusa_ Presiden Jokowi menolak dan tidak berminat menjadi Presiden tiga periode;Negatif
@PKSejahtera Harus tiga periode.;Positif
@sasasayatusa_ hanya sebagian kecil dari masyarakat yang inginkan Presiden menjabat tiga periode atau lebihi;Negatif
udah tiga periode akun gua masih kaga balik;Netral
"@DionClcp @msaid_didu yg ga mau tiga periode jkw. 
yg goreng ya antek antek pks, pd dan pkb
dan kadrun pada percaya";Negatif
@yunwa Akun w belum unsus sejak tiga periode:’)) jeki parag sekarang elon hueeee😭;Netral
Urusin masalah minyak goreng saja tidak mampu kok mau tiga periode! Ngacaaaaa;Negatif
"@PKSejahtera Semoga bener2 tiga periode
Biar kejang2 tuh PKS";Positif
Nyuci yang tinggal masukin mesin cuci aja cape bgt. Pantesan kalo nyetrika sekarang lamanya sampe tiga periode. Eh;Netral
PDI P menolak tiga periode ada skandal besar kayanya.;Negatif
@AnakKam63916162 @SBYudhoyono Masak,mana artikelnya sby tiga periode?;Netral
@detikcom Kalo ada wacana tiga periode, Demokrat untung, biasa jualan Pak SBY lagi.;Netral
"@Hayuningrat7 #NKRI_HARGA_NAIK

salam tiga periode...😅";Negatif
@pelitabangsa45 Tolak tiga periode;Negatif
@TxtdariHI Kira-kira ntar di sana ada yg minta tiga periode ga ya;Netral
"@september__26 @didienAZHAR @Dennysiregar7 @jokowi Yg begini minta tiga periode? 
Beuuuugh!!!";Negatif
@democrazymedia Duit negara di bikin mangkrak, pinjam lagi ke Tiongkok naikan lagi pajak, eeh ngebet tiga periode tak tau malu kau Jon;Negatif
@Kimberley20101 @muh_adoel Hahaha... Kemarin usulkan Tiga periode nih Tito, konyol deh percuma titel nya 😀🤣😀;Negatif
@JaenoXTM Tiga periode nya dialam kubur aja. Gapapa xixixi;Negatif
@hnurwahid Ngurusin harga minyak goreng saja belum beres, masa mau tiga periode....seharusnya instrospeksi...;Negatif
@democrazymedia Mau tiga periode gitu..?;Negatif
Bayern Munchen apa mau juara tiga periode ? 🤣🤣;Netral
"@Hartati44247904 @Mukidioon2 @KPK_RI @KemensosRI @antikorupsi Mungkin ""dia"" terlibat, itu sikades indonesia tiga periode";Negatif
@lia_mecca1 Itu jari Pak Hamka..kode Salam Tiga Periode..kayaknya..😁😂;Positif
@Penyair_Berdiri @jokowi Jelas dan tegas tolak tiga periode;Negatif
@SakiinaQhiCO_33 Tegas tolak tiga periode;Negatif
"@Husen_Jafar Ada issue periode ke tiga,
Entah benar atau hanya karang.
Jodoh itu penenang jiwa,
Maka carilah dengan hati yg tenang.";Netral
@AliBej0 Presiden sudah tegas menolak tiga periode;Negatif
Hndk percaya lwan proses tapi kalawasan proses nya sawat jkw tiga periode;Negatif
@liputan6dotcom soap jg yg manfaatkan... yg manfaatkan yg mau tiga periode tu;Negatif
"@geloraco Kiraan rakor perang terhadap KKB

koordinasi apa ni tiga periode kah";Negatif
@DonAdam68 Rakyat terbelah ekonomi makin nyungsep pejabatnya malah pada sibuk ngomongin tiga periode n NII;Negatif
@barkhah_bpp @ganafmargi @AhlulQohwah Memang tiga periode banyak yg tdk setuju, termasuk saya;Negatif
@alisyarief Semenjak di bawah komando presiden jokowi kejagung makin luar biasa,tiga periode pak jokowi;Positif
@PitherK3 @SisiwittFrida Ada yg mimpi tiga periode... tinggi gak...?;Negatif
Pemilu tetap 2024, jangan diundur. Namun tiga periode coba dipertimbangkan.;Positif
@kakaaditya22 Inilah sisa warisan si mantan yg masih membekas d elu ya jingan. Mending tobat lu daripada jkw naik periode k tiga.;Negatif
@democrazymedia Ga takut Broo, ttangga Kita baik2 semua, Kita lebih takut tiga periode....dimiskinkan karna salah kelola negara.;Negatif
@firzahusainInc haiyoo tinggal bilang anda pgn tiga periode kok ruwet men to pak pak;Negatif
"@HanyaAnakDesa94 @msaid_didu tiga periode digoreng trus oleh kadrun.
protes tuh sama cak imin, bukan jokowi";Netral
@luvhndry ah, terimakasih, anda sangat baik ibu Ratu, smoga bisa tiga periode yah☺️🙏🏿;Positif
@geloraco Awaaaaaas penundaan pemilu dan perpanjangan jabatan presiden tiga periode semakin menjadi-jadi;Negatif
@fans_attasis Mau minta tiga periode dan tunda pemilu😆;Positif
@RagilSemar kalau permintaan presiden tiga periode atau seumur hidup ..pasti lain jawabannya..;Netral
@febridiansyah @firlibahuri @KPK_RI Mau lanjutin nyalon sebagai Walikota Lampung kali setelah gagal tiga periode;Netral
@ChusnulCh__ Sebetulnya demo itu biar presiden Jokowi mau tiga periode, babaho indonesia nambah nyungsep sep..;Negatif
"@BEMUI_Official Mahasiswa BUDEG.
Tiga periode mulu yg dibahas
BASI";Netral
@tempodotco Subhanallah pak jokowi anda memang luar biasa, lanjut tiga periode pal;Positif
@abu_waras Katanya sudah ngak laku tapi kalau ada gerakan rakyat jokowi tiga periode kadrun ketakutan;Positif
@ceIciuz thankyouu pak, yukk tiga periode lagii menungguu🙌🙌🙌;Positif
@SangKetua4 @henrysubiakto Yg mau tiga periode siapa sih om??;Netral
@JaenoXTM Ternyata memang benar yg terus mewacanakan tiga periode itu dari pemerintah sendiri;Netral
"@fajarnugros Omdo, gimana bawahan nggak ngelunjak?
Tuh, menteri tiga periode. Aman kan?";Netral
"@_ekokuntadhi Soal tiga periode kan sudah di jawab tegas oleh presiden,
Kog masih saja demo.... Apakah ini demo pesanan ya ....";Netral
@arya_dipa45 Sebenarnya aliansi mahasiswa dan para penikmat demo berdoa agar pak Jokowi tiga periode biar dana demo mengalir terus 🤭😂😂;Positif
@gatse8 Ane gak setuju die jadi kades tiga periode. Gak level. Kalau ketua grup Srimulat gue setuju...😂;Negatif
Rupanya dlm kebun sawit merancang presiden tiga periode dan tunda pemilu;Negatif
"@KopiUlubelu @MprAldo junjungan ngibul tiga periode
jinjingan tolol tiga periode..

😁";Negatif
"@Dennysiregar7 Kalah tiga periode 😂😂
Junjungan nya 🤭";Netral
@kompascom Bahlul si tiga periode....;Negatif
@detikcom Tiga periode itu sah;Positif
@golkar_id @PKSejahtera Salam Tiga Periode;Positif
@GerakanPemuda_ hanya sebagian kecil dari masyarakat yang inginkan Presiden menjabat tiga periode atau lebih;Negatif
@GerakanPemuda_ Mayoritas Tolak Presiden Tiga Periode dan Penundaan Pemilu 2024;Negatif
@GerakanPemuda_ Jokowi menegaskan tak berminat jadi presiden selama tiga periode;Negatif
@GerakanPemuda_ Kita tidak sepakat dengan gagasan tiga periode yang selama ini digulirkan oleh beberapa ketum partai.;Negatif
@GerakanPemuda_ yang ingin tiga periode atau lebih itu hanya sebagian kecil, kalau dari total poluasi itu hanya sekitar 5 persen;Negatif
@abudzaky2015 @Dastan_2014 @BEMUI_Official Ini dirubah tiga periode atau perpanjangan jabatan presiden yg diam2 itu;Negatif
@usemay yen aku tetep dukung Maduire kui jadi kapten, yen perlu tiga periode;Netral
"@akktivis ㅤ

Btari:

Yang demo kemarin. Tiga periode sama BBM naik.

⠀⠀";Negatif
@BEMUI_Official kami ingin Jokowi tiga periode;Positif
@Herzaky__MP kita gaungkan saja Jokowi untuk tiga periode, #21AprilTetapJokowi;Positif
@PanciBozz Sampe 2024 pak Jokowi tetap presiden lanjut tiga periode ga nih...;Positif
@adit_youtuber @reflection_8_ @macanluweh 'Dajjal' nya skrg lg pusing klo 'boneka' nya gagal tiga periode 🤭🤭;Netral
@sasasayatusa_ Kita tidak sepakat dengan gagasan tiga periode yang selama ini digulirkan oleh beberapa ketum partai.;Negatif
@supari_yanto @msaid_didu Lah masih di tiga periode masih di penundaan pilpres 🤦;Negatif
@KenEmerson24 @deantaraxan @PANJISATRIA__ Gua udah kecewa dengan ke hoaxan ini. Gua tetap tiga periode;Positif
mosok 4 taun tok jokowi ae tiga periode;Positif
@jokowi Kalau mau tiga periode angkat jadi asn semua honorer guru pasti sekeluarga nyoblos pak Jokowi lagi;Negatif
"@AzulZulian Mau...demo lagi 😂😂
Tiga periode sudah lewat..
Isu Hambalang lagi d demo kan ..kenapa tak d lanjut kan 🤭";Netral
@msaid_didu Balihonya Tohir sudah terpampang di tempatku, pemuja pak lurah sembunyi² tiga periode;Netral
@CNNIndonesia Itu presiden pilihanmu ,,,masih ngomel2,,minta tiga periode lagi,,Ndak waras;Negatif
"@mcflurrykaepci @jjiekoo @bIuesweett @convomfs Salah bro
Tiga, periode";Netral
@daikindonut semua obrolan ini dan mau tiga periode, tapi esemka masih tiada #yntkts;Negatif
@jjustimie km dukung saya tiga periode gak chi;Netral
@mooncelus kamu dukung saya tiga periode gak?;Netral
@nocontextwindah bang absen yang ketik tiga periode pake emot;Netral
@PutraErlangga95 SAYA PERCAYA, KARENA INI PERANG TERBUKA PDIP VS OLIGARKI...OLIGARKI MAKSA INGIN TIGA PERIODE..;Negatif
@kumparan kalau tiga periode lanjut ?;Netral
@CNNIndonesia Bagian dari tiga periode;Positif
@Brendamisc Kita tidak sepakat dengan gagasan tiga periode yang selama ini digulirkan oleh beberapa ketum partai.;Negatif
@abangbelneg Jokowi menegaskan tak berminat jadi presiden selama tiga periode;Negatif
@sasasayatusa_ wacana masa jabatan presiden tiga periode;Netral
@Brendamisc Mayoritas Tolak Presiden Tiga Periode dan Penundaan Pemilu 2024;Negatif
@AV4tarPemburu @jokowi @KejaksaanRI Stupid pada dibanyakin. Kurang jelas gimana Presiden Jokowi bicara menolak tiga periode;Negatif
@sasasayatusa_ Jokowi menegaskan tak berminat jadi presiden selama tiga periode;Negatif
@reyqueensha @fajar17 Barang jadi tu kalo di bilang gamau tiga periode artinya kebalikanya;Negatif
@msaid_didu @DonAdam68 Sabar mencari cara untuk nambah tiga periode;Positif
@mohmahfudmd Big data 110 juta rakyat dukung tiga periode hoax bukan pak? Itu dari pihak pemerintah lho pak... Dimana etikanya????;Negatif
@Gank_Of_Petojo Hahaha saya tetap mendukung beliau tiga periode;Positif
@geloraco Kalau umaranya pengen nambah tiga periode gimana dong?;Netral
@txtdrpemerintah Masih ngotot minta 3 periode ngtot.;Negatif
@papa_loren Sy juga mau buat narasi “Presiden sj bisa diganti knp koq hrs nambah 3 periode” gitu aja koq pusing;Negatif
@PolJokesID ibu: “nak bangun, mau 3 periode ga?”;Netral
@PolJokesID prittt 3 periode baru bangun;Netral
@OposisiCerdas lah itu kan ngga melanggar apa2, beda kalo pake kaos mulyono 3 periode, itu garong konstitusi;Negatif
@SantorinisSun Jkw 3 periode;Positif
@democrazymedia Dah hampir 3 periode masih bingung;Netral
@VIVAcoid Maaih bingung juga...? Terus mau nambah jadi 3 periode....bego kok diteruskan...!!;Negatif
@Dicky65779470 Hoax..org mau nambah 3 periode;Netral
@CNNIndonesia Karena masih keheranan, gass 3 periode 🤣;Positif
@mohmahfudmd Lha katanya 3 periode harga mati pak ? 😄;Positif
@VIVAcoid 8thn menjabat tp masih kagetan dan mbingungi.. Salam 3 periode 😂😂;Negatif
@Dennysiregar7 Halah bacot den. Percebongan lagi nyari topik biar bisa up 3 periode;Negatif
@GSuzli @mohmahfudmd Gak jadi 3 periode, Gil?;Netral
@manviphurit 3 periode ath, maenya eleh ku presid..;Netral
Apa cuma gua yg khotbah sblm taraweh di masjid komplek bahasnya 3 periode di loudspeaker?;Netral
@Syarman59 Kau gak bahas mafia migor denger2 uangnya buat bayar proyek 3 periode. Heheheh.... sempet dapat lah ya.;Negatif
@KompasTV Maunya Jokowi 3 periode 🤣🤣🤣;Positif
@jokowi Presiden koq curhat...minta 3 periode pula...😀😀🙃😃;Negatif
@CNNIndonesia Calon Presiden yang memiliki kompetensi masih banyak di Indonesia, kenapa anda mau 3 periode??;Negatif
Amit2 dah gausah 3 periode. Kerjaanya nutup jalan mulu kalo mau balik. Bikin macet parah sue.;Negatif
@Ziantozi @ApriliaLin @aniesbaswedan Klo yg mati hidup 3 periode bijimane;Netral
@ApriliaLin @aniesbaswedan Waduh kok pa Anies bikin buzerRp kebakaran jenggot sih. Ngga peka beliau ini. Mestinya bagi kaos tulis 3 periode.;Negatif
@VIVAcoid W juga bingung kayak dia jadi presiden minta 3 periode lagi;Negatif
@ekowboy2 Hehehe..muka tembok dia,,di suruh turun malah pengen 3 periode plus mau nunda PEMILU...harus di robohkan rezim ini;Negatif
@FabrizioRomano @_pauljoyce @GettySport Yok tambah 3 periode;Positif
@TobatSaat @Hadifirdauss @ArdityaChandra4 @kangdede78 @aniesbaswedan Emang udah pasti bakal 3 periode?;Netral
@keuangannews_id Pengalihan isu. Seolah2 PDIP menolak 3 periode. Pdhal...;Negatif
@Ardiesuhardi1 Ditempat yang berbeda ada yg butuh sampai 3 periode itu pun tidak menjamin berhasil.;Negatif
@KompasTV Jngan memilih pemimpin 3 periode;Negatif
@hiehuan1 @CNNIndonesia maksudnya 3 periode gitu 😁😁😁;Netral
@PKSejahtera 3 periode sudah tidak relevan, kayaknya PKS ini kehilangan nalar sehingga terus menerus menggoreng isu yang sudah gosong;Negatif
@txtdrpemerintah Gagalin juga 3 periode nya dong;Negatif
@mohmahfudmd gak dukung 3 periode Prof;Netral
@Dennysiregar7 Tp bg @Dennysiregar7 jgn lupa banyak2 doa jg, biar 3 periode tembus.. trus, biar tetap sakti alias kebal..😏;Negatif
@PolJokesID Bangun bangun 3 periode;Netral
"@filosofiksi Yuk dukung khilafah..
Khalifnya Jokowi.
Batal 3 periode jadi 3 generasi 😂";Negatif
@CNNIndonesia Presiden terbaik selama indonesia merdeka,lanjutkan 3 periode;Positif
@convomfs Satwa liar, mudik, harga bbm, 3 periode, popo;Netral
@detikcom Jokowi telah ambil sikap dgn pelaksanaan pemilu thn 2024 , ini mengabur kan impian org2 yg gila kuasa utk 3 periode.;Negatif
"KAMIS, 28/APRIL/2022,

RESULT PASARAN BURMA
PERIODE KE - 1770 : 
PRIZE 1 : 1902
PRIZE 2 : 9707
PRIZE 3 : 4748
SELAMAT KEPADA PARA PEMENANG";Netral
@democrazymedia Makanya pak..lanjut 3 periode...teleq;Negatif
@sasasayatusa_ wacana 3 periode itu sementara para ketua;Netral
@sasasayatusa_ tegas tolak 3 periode;Negatif
@sasasayatusa_ keterlaluan cak imin mau menjerumuskan pak jokowi 3 periode;Negatif
@sasasayatusa_ Kenapa rakyat ingin Pak Jokowi lanjut 3 periode? Karena berhasil membangun Indonesia;Positif
@fwlare @airlangga_hrt Catet dia yg mo bikin malu jokowi 3 periode;Negatif
"@KompasTV Bu Puan VS Pak Ganjar VS Pak Jokowi 3 periode

Mantab ibu...💪";Positif
@JempolJohan @msaid_didu Kalo di jepang udah mundur atau kalo yg lebih sadis lagi ditawor rakyatnya. Kalo di film2 bisa minta 3 periode;Negatif
@sasasayatusa_ mantap, stop bicara 3 periode,;Negatif
"@sasasayatusa_ dukung pemerintah fokus bekerja, stop bicara 3 periode,

#PenundaanPemilu
#Tolak3Periode
#tolaktegaspenundaanpemilu";Negatif
@An_Kiim Strategi untukengalihkan perhatian untuk kasus 3 periode;Negatif
@budi_anwirra @Putr1_Tungga1 Belommm....kalok 3 periode nder;Netral
@An_Kiim Bentar lagi para ustadz, guru ngaji, guru TPA di kumpulin dibayar untuk hal yang sama sekaligus dukungan 3 Periode.;Negatif
"@Putr1_Tungga1 2 Periode aja dah Cukup bikin Kadrun Onani Berjama'ah
Apalagi kalok 3 periode
Tugel Peline";Netral
@CNNIndonesia Klo gagal mendingan turun aja jd presiden kayak gini mau 3 periode;Negatif
@KompasTV Kalo sy dipercaya 3 periode, Tak akan Saya Biarkan;Negatif
@KompasTV Yang itu udah gak bakal kepilih lagi kecuali keukeuh 3 periode..;Netral
@sasasayatusa_ hadehh,, tolak 3 periode gaes!;Negatif
@sasasayatusa_ hanya partai koalisi yang dapat menampar wajah pak Jokowi mengusulkan 3 periode;Negatif
@paakkeeeet kebijakan 3 periode juga gagal :(;Negatif
@keuangannews_id Pak ktanya petani sawit pengen Jokowi 3 periode, coba datangi lagi mereka pak.;Positif
@sasasayatusa_ Presiden Joko Widodo sudah menegaskan jika tidak ada jabatan presiden 3 periode;Negatif
@KompasTV Bru Kita pilih orang bodok 3 periode lagi????;Negatif
@SirianaGde Kalau terjadi periode ke - 3 .. pasti akan lebih mengerikan daripada perang dunia ke-3 .,;Negatif
@ArdityaChandra4 @kangdede78 @aniesbaswedan Siapa Jokowie Bilang 3 Periode Hahaha Tolol;Netral
@sigitwid @aniesbaswedan Kemaren ada yg buat kampanye 3 periode mingkem lu !;Netral
@NayDonuts @yulitasaarii___ @jokowi orang ini yg kemaren juga bikin kisruh penundaan apa yg 3 periode ya....;Negatif
@mohmahfudmd Hrs diganti karna gak strong ya Pak Mahfud, disamping gagal 3 periode ?;Netral
@ChusnulCh__ @DKIJakarta Maunya gambar 3 periode ya . . . . 🤣🤣🤣🤣;Netral
@jokowi Cacam pak...3 periode pak;Positif
@farididoev Mulakno 3 periode, ben kasembadan;Netral
@shotarotidur @yurizhialfa gak sekalian aja shotaro 3 periode? 😃;Netral
"@Abaaah kalau kurang puas, msh ada wacana 3 periode &amp; penambahan masa jabatan bah~😃🤦‍♂️";Positif
@SangGuru2471 @mohmahfudmd Rakyat masih cinta jokowi peesiden, 3 periode lanjut👍;Positif
@CNNIndonesia semoga di periode ke 3 lebih baik pak;Positif
@sigitwid @aniesbaswedan gak taulah, sebagaimana jokowi gak tau bawahannya ngusul jokowi 3 periode;Negatif
"@privetbro1 Tinggal 2 tahun kok, saya tidak kuatir, asal jangan 3 periode aja.
Oraaaa!";Negatif
@cintuckydiary Emg sharing hukum bermanfaat ya ? Sedangkan kenyataannya fakta berbanding terbalik dengab teori. Contohnya jokowow 3 periode;Netral
@De34Naeun Dukung aku sampai 3 periode nuna;Positif
@PKSejahtera klo begini, berarti bener Jokowi Harus 3 Periode hahahaha;Positif
@CNNIndonesia Kalo mau 3 periode ..harus ikuti kehendak mafiab;Negatif
@arcadipolis GUA BARU PDKT, apapun hasilnya pilih jokowi 3 periode;Positif
@Muhamma13646518 @SITINUR51514627 @aniesbaswedan @Jakartaeprix Muntahin aja... saya maunya jokowi 3 periode;Positif
"@mohtahid Masih minat 3 periode Bong ?
#OligarkMakinBrutal";Negatif
Kenapa menteri agama gak gantian ya, periode 1 dari Islam, periode 2 dari Kristen, periode 3 dari Hindu, dst. dst.;Netral
"@kumparan Ngurus migor aja sampe kocar kacir. Minta 3 periode.
Anjing ngelunjak .";Negatif
@VIVAcoid Abaikan berita ini. Fokus gagalkan 3 periode/perpanjangan masa jabatan. Runtuhkan semua proyek penjajahan naga2;Negatif
@kasito17 @Rizmaya__ @aniesbaswedan Ada yg kampanye 3 periode mingkem lu !;Netral
@Andreas56524611 @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@TenaboloDade @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@Gondo_Maruto @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@Kuasaangin02 @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@aliandofirlano @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@oktafian @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@cybsquad_ @jokowi @Kiyai_MarufAmin @adeyasinn apakah yg dukung 3 periode .... ?;Netral
@OemarFaruq9 @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@AdamRiz66589759 @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@kangdede78 @aniesbaswedan Ya mending anis presiden dari pada melanggar konstitusi untuk 3 periode;Negatif
@Koko67793366 @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
